id,mode,dist_train,dist_air,dist_bus,dist_car,cost_train,cost_air,cost_bus,cost_car,ivt_train,ivt_air,ivt_bus,ivt_car,ovt_train,ovt_air,ovt_bus,ovt_car,freq_train,freq_air,freq_bus,freq_car,income_train,income_air,income_bus,income_car,urban_train,urban_air,urban_bus,urban_car
1,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,45,45,45,45,0,0,0,0
2,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,70,70,70,70,0,0,0,0
3,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,35,35,35,35,0,0,0,0
4,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,70,70,70,70,0,0,0,0
5,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,70,70,70,70,0,0,0,0
6,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,55,55,55,55,0,0,0,0
7,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,25,25,25,25,0,0,0,0
8,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,70,70,70,70,0,0,0,0
9,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,70,70,70,70,0,0,0,0
10,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,45,45,45,45,0,0,0,0
11,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,70,70,70,70,0,0,0,0
12,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,25,25,25,25,0,0,0,0
13,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,70,70,70,70,0,0,0,0
14,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,45,45,45,45,0,0,0,0
15,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,70,70,70,70,0,0,0,0
16,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,15,15,15,15,0,0,0,0
17,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,70,70,70,70,0,0,0,0
18,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,55,55,55,55,0,0,0,0
19,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,35,35,35,35,0,0,0,0
20,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,35,35,35,35,0,0,0,0
21,car,387,387,387,387,58.25,145.8,26.67,73.53,316,56,301,251,59,85,58,0,2,9,8,0,55,55,55,55,0,0,0,0
22,car,387,387,387,387,58.25,145.8,26.67,73.53,316,56,301,251,59,85,58,0,2,9,8,0,45,45,45,45,0,0,0,0
23,car,404,404,404,404,60.25,146.2,26.67,76.76,316,56,301,265,74,94,93,0,2,9,8,0,70,70,70,70,0,0,0,0
24,train,365,365,365,365,60.85,151.2,27.82,69.35,237,56,301,245,94,77,83,0,4,9,8,0,70,70,70,70,1,1,1,1
25,air,365,365,365,365,60.85,151.2,27.82,69.35,237,56,301,245,94,77,83,0,4,9,8,0,55,55,55,55,1,1,1,1
26,air,365,365,365,365,60.85,151.2,27.82,69.35,237,56,301,245,94,77,83,0,4,9,8,0,55,55,55,55,1,1,1,1
27,air,365,365,365,365,60.85,151.2,27.82,69.35,237,56,301,245,94,77,83,0,4,9,8,0,70,70,70,70,1,1,1,1
28,car,365,365,365,365,60.85,151.2,27.82,69.35,237,56,301,245,94,77,83,0,4,9,8,0,70,70,70,70,1,1,1,1
29,car,365,365,365,365,60.85,151.2,27.82,69.35,237,56,301,245,94,77,83,0,4,9,8,0,45,45,45,45,1,1,1,1
30,car,365,365,365,365,60.85,151.2,27.82,69.35,237,56,301,245,94,77,83,0,4,9,8,0,70,70,70,70,1,1,1,1
31,train,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,35,35,35,35,1,1,1,1
32,train,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,15,15,15,15,1,1,1,1
33,train,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,55,55,55,55,1,1,1,1
34,train,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,70,70,70,70,1,1,1,1
35,train,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,70,70,70,70,1,1,1,1
36,train,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,45,45,45,45,1,1,1,1
37,train,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,70,70,70,70,1,1,1,1
38,train,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,35,35,35,35,1,1,1,1
