id,alt,choice,dist,cost,ivt,ovt,freq,income,urban
1,train,0,377,58.25,215,74,4,45,0
1,air,1,377,142.8,56,85,9,45,0
1,bus,0,377,27.52,301,63,8,45,0
1,car,0,377,71.63,262,0,0,45,0
2,train,0,377,58.25,215,74,4,70,0
2,air,1,377,142.8,56,85,9,70,0
2,bus,0,377,27.52,301,63,8,70,0
2,car,0,377,71.63,262,0,0,70,0
3,train,0,377,58.25,215,74,4,35,0
3,air,1,377,142.8,56,85,9,35,0
3,bus,0,377,27.52,301,63,8,35,0
3,car,0,377,71.63,262,0,0,35,0
4,train,0,377,58.25,215,74,4,70,0
4,air,1,377,142.8,56,85,9,70,0
4,bus,0,377,27.52,301,63,8,70,0
4,car,0,377,71.63,262,0,0,70,0
5,train,0,377,58.25,215,74,4,70,0
5,air,1,377,142.8,56,85,9,70,0
5,bus,0,377,27.52,301,63,8,70,0
5,car,0,377,71.63,262,0,0,70,0
6,train,0,377,58.25,215,74,4,55,0
6,air,1,377,142.8,56,85,9,55,0
6,bus,0,377,27.52,301,63,8,55,0
6,car,0,377,71.63,262,0,0,55,0
7,train,0,377,58.25,215,74,4,25,0
7,air,1,377,142.8,56,85,9,25,0
7,bus,0,377,27.52,301,63,8,25,0
7,car,0,377,71.63,262,0,0,25,0
8,train,0,377,58.25,215,74,4,70,0
8,air,1,377,142.8,56,85,9,70,0
8,bus,0,377,27.52,301,63,8,70,0
8,car,0,377,71.63,262,0,0,70,0
9,train,0,377,58.25,215,74,4,70,0
9,air,1,377,142.8,56,85,9,70,0
9,bus,0,377,27.52,301,63,8,70,0
9,car,0,377,71.63,262,0,0,70,0
10,train,0,377,58.25,215,74,4,45,0
10,air,1,377,142.8,56,85,9,45,0
10,bus,0,377,27.52,301,63,8,45,0
10,car,0,377,71.63,262,0,0,45,0
11,train,0,377,58.25,215,74,4,70,0
11,air,0,377,142.8,56,85,9,70,0
11,bus,0,377,27.52,301,63,8,70,0
11,car,1,377,71.63,262,0,0,70,0
12,train,0,377,58.25,215,74,4,25,0
12,air,0,377,142.8,56,85,9,25,0
12,bus,0,377,27.52,301,63,8,25,0
12,car,1,377,71.63,262,0,0,25,0
13,train,0,377,58.25,215,74,4,70,0
13,air,0,377,142.8,56,85,9,70,0
13,bus,0,377,27.52,301,63,8,70,0
13,car,1,377,71.63,262,0,0,70,0
14,train,0,377,58.25,215,74,4,45,0
14,air,0,377,142.8,56,85,9,45,0
14,bus,0,377,27.52,301,63,8,45,0
14,car,1,377,71.63,262,0,0,45,0
15,train,0,377,58.25,215,74,4,70,0
15,air,0,377,142.8,56,85,9,70,0
15,bus,0,377,27.52,301,63,8,70,0
15,car,1,377,71.63,262,0,0,70,0
16,train,0,377,58.25,215,74,4,15,0
16,air,0,377,142.8,56,85,9,15,0
16,bus,0,377,27.52,301,63,8,15,0
16,car,1,377,71.63,262,0,0,15,0
17,train,0,377,58.25,215,74,4,70,0
17,air,0,377,142.8,56,85,9,70,0
17,bus,0,377,27.52,301,63,8,70,0
17,car,1,377,71.63,262,0,0,70,0
18,train,0,377,58.25,215,74,4,55,0
18,air,0,377,142.8,56,85,9,55,0
18,bus,0,377,27.52,301,63,8,55,0
18,car,1,377,71.63,262,0,0,55,0
19,train,0,377,58.25,215,74,4,35,0
19,air,0,377,142.8,56,85,9,35,0
19,bus,0,377,27.52,301,63,8,35,0
19,car,1,377,71.63,262,0,0,35,0
20,train,0,377,58.25,215,74,4,35,0
20,air,0,377,142.8,56,85,9,35,0
20,bus,0,377,27.52,301,63,8,35,0
20,car,1,377,71.63,262,0,0,35,0
21,train,0,387,58.25,316,59,2,55,0
21,air,0,387,145.8,56,85,9,55,0
21,bus,0,387,26.67,301,58,8,55,0
21,car,1,387,73.53,251,0,0,55,0
22,train,0,387,58.25,316,59,2,45,0
22,air,0,387,145.8,56,85,9,45,0
22,bus,0,387,26.67,301,58,8,45,0
22,car,1,387,73.53,251,0,0,45,0
23,train,0,404,60.25,316,74,2,70,0
23,air,0,404,146.2,56,94,9,70,0
23,bus,0,404,26.67,301,93,8,70,0
23,car,1,404,76.76,265,0,0,70,0
24,train,1,365,60.85,237,94,4,70,1
24,air,0,365,151.2,56,77,9,70,1
24,bus,0,365,27.82,301,83,8,70,1
24,car,0,365,69.35,245,0,0,70,1
25,train,0,365,60.85,237,94,4,55,1
25,air,1,365,151.2,56,77,9,55,1
25,bus,0,365,27.82,301,83,8,55,1
25,car,0,365,69.35,245,0,0,55,1
26,train,0,365,60.85,237,94,4,55,1
26,air,1,365,151.2,56,77,9,55,1
26,bus,0,365,27.82,301,83,8,55,1
26,car,0,365,69.35,245,0,0,55,1
27,train,0,365,60.85,237,94,4,70,1
27,air,1,365,151.2,56,77,9,70,1
27,bus,0,365,27.82,301,83,8,70,1
27,car,0,365,69.35,245,0,0,70,1
28,train,0,365,60.85,237,94,4,70,1
28,air,0,365,151.2,56,77,9,70,1
28,bus,0,365,27.82,301,83,8,70,1
28,car,1,365,69.35,245,0,0,70,1
29,train,0,365,60.85,237,94,4,45,1
29,air,0,365,151.2,56,77,9,45,1
29,bus,0,365,27.82,301,83,8,45,1
29,car,1,365,69.35,245,0,0,45,1
30,train,0,365,60.85,237,94,4,70,1
30,air,0,365,151.2,56,77,9,70,1
30,bus,0,365,27.82,301,83,8,70,1
30,car,1,365,69.35,245,0,0,70,1
31,train,1,354,59,237,69,4,35,1
