"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"경기도 고양시 덕양구","주교동",17104,7964,4480,1263
"경기도 고양시 덕양구","성사1동",24466,11394,5972,2772
"경기도 고양시 덕양구","성사2동",11865,5364,1299,664
"경기도 고양시 덕양구","능곡동",18724,8746,4074,979
"경기도 고양시 덕양구","흥도동",30527,13808,3857,3065
"경기도 고양시 덕양구","창릉동",11335,5136,6489,1691
"경기도 고양시 덕양구","원신동",17662,8039,2506,1624
"경기도 고양시 덕양구","효자동",2032,909,991,0
"경기도 고양시 덕양구","신도동",17074,7848,1957,1561
"경기도 고양시 덕양구","고양동",31934,14199,6318,3911
"경기도 고양시 덕양구","관산동",33577,15659,6768,3577
"경기도 고양시 덕양구","화정1동",39453,18172,10278,5318
"경기도 고양시 덕양구","화정2동",34563,15568,10619,5229
"경기도 고양시 덕양구","행주동",21323,10427,5639,2342
"경기도 고양시 덕양구","행신1동",23571,10889,2764,2578
"경기도 고양시 덕양구","행신3동",48719,22162,7050,6388
"경기도 고양시 덕양구","행신2동",34082,15844,7229,4754
"경기도 고양시 덕양구","화전동",5321,2375,2042,422
"경기도 고양시 덕양구","대덕동",3283,1586,4016,4616
