"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"경기도 고양시 일산동구","식사동",30770,13651,9765,7358
"경기도 고양시 일산동구","고봉동",18263,8839,18845,687
"경기도 고양시 일산동구","중산동",42644,19392,7424,7326
"경기도 고양시 일산동구","정발산동",25836,12053,6033,3365
"경기도 고양시 일산동구","풍산동",37059,16581,6674,5556
"경기도 고양시 일산동구","백석1동",31082,14856,12610,2614
"경기도 고양시 일산동구","마두1동",24827,11171,8675,4848
"경기도 고양시 일산동구","마두2동",16183,7051,4678,4210
"경기도 고양시 일산동구","장항1동",2895,1474,9997,0
"경기도 고양시 일산동구","장항2동",27414,14337,34295,662
"경기도 고양시 일산동구","백석2동",21746,11098,10409,2752
