"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"경기도 광명시","광명1동",13978,6504,842,0
"경기도 광명시","광명2동",11626,5561,1330,0
"경기도 광명시","광명3동",11240,5514,4258,805
"경기도 광명시","광명4동",15519,7491,2889,0
"경기도 광명시","광명5동",15597,7259,1804,931
"경기도 광명시","광명6동",15069,6927,4954,3056
"경기도 광명시","광명7동",23580,11018,4025,3726
"경기도 광명시","철산1동",13561,6172,1899,2367
"경기도 광명시","철산2동",16353,8015,2216,2022
"경기도 광명시","철산3동",36411,16477,12033,7116
"경기도 광명시","철산4동",14472,6858,860,0
"경기도 광명시","하안1동",27457,12432,5511,2881
"경기도 광명시","하안2동",15465,7236,1820,712
"경기도 광명시","하안3동",22675,10214,5405,2096
"경기도 광명시","하안4동",13793,6237,1280,3492
"경기도 광명시","소하1동",31401,13807,19144,6316
"경기도 광명시","소하2동",32481,14700,9178,5621
"경기도 광명시","학온동",2244,1044,5881,125
