"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"경기도 부천시","심곡1동",13888,6960,5000,7670
"경기도 부천시","심곡2동",19516,10227,9131,726
"경기도 부천시","심곡3동",13942,6846,2090,638
"경기도 부천시","원미2동",13904,6729,1751,0
"경기도 부천시","소사동",9892,4887,2526,1562
"경기도 부천시","원미1동",17824,8534,7208,1714
"경기도 부천시","역곡1동",19290,8940,3758,2883
"경기도 부천시","역곡2동",20519,9686,3455,8965
"경기도 부천시","춘의동",15073,7442,13006,265
"경기도 부천시","도당동",25192,12318,23509,5127
"경기도 부천시","약대동",18007,8703,6342,706
"경기도 부천시","중동",24836,11694,3980,3041
"경기도 부천시","중1동",34941,17146,22138,5174
"경기도 부천시","중2동",32030,15011,7935,6383
"경기도 부천시","중4동",20116,9530,3267,3928
"경기도 부천시","중3동",23787,11157,7508,4880
"경기도 부천시","상동",20250,9661,12923,2458
"경기도 부천시","상1동",25555,12110,4832,3271
"경기도 부천시","상2동",31251,14143,14704,6417
"경기도 부천시","상3동",32155,14734,10403,3531
"경기도 부천시","심곡본동",19207,9345,5122,1002
"경기도 부천시","심곡본1동",19936,9826,2998,2239
"경기도 부천시","소사본동",25226,12186,6487,4660
"경기도 부천시","소사본3동",32358,14989,4434,3715
"경기도 부천시","괴안동",21409,9912,3096,2230
"경기도 부천시","범박동",32681,14537,2676,5165
"경기도 부천시","역곡3동",25386,12078,5864,6229
"경기도 부천시","송내1동",23302,11051,7547,3346
"경기도 부천시","송내2동",27543,12879,5805,3730
"경기도 부천시","성곡동",43201,20146,7307,4805
"경기도 부천시","원종1동",23094,10880,3917,1340
"경기도 부천시","원종2동",24594,11526,3027,1936
"경기도 부천시","오정동",22895,10910,9982,3338
"경기도 부천시","신흥동",21033,10785,39025,696
"경기도 부천시","고강본동",29566,13795,3749,2201
"경기도 부천시","고강1동",15738,7420,2130,1225
