"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"경기도 성남시 분당구","분당동",26783,12284,2865,4046
"경기도 성남시 분당구","수내3동",14432,6542,2107,4250
"경기도 성남시 분당구","수내2동",10320,4330,1611,2165
"경기도 성남시 분당구","정자2동",16661,7858,1031,1330
"경기도 성남시 분당구","정자3동",16070,7273,3696,3985
"경기도 성남시 분당구","구미동",31737,14597,20041,1890
"경기도 성남시 분당구","금곡동",26976,12477,11394,1376
"경기도 성남시 분당구","구미1동",17837,8333,9113,3376
"경기도 성남시 분당구","수내1동",17262,7905,18897,2307
"경기도 성남시 분당구","서현1동",31266,14155,32201,4579
"경기도 성남시 분당구","서현2동",18473,8438,2956,2479
"경기도 성남시 분당구","정자1동",28403,13569,25982,3892
"경기도 성남시 분당구","정자동",20470,9848,4322,2598
"경기도 성남시 분당구","이매1동",26109,11755,4671,5105
"경기도 성남시 분당구","이매2동",13540,5952,3021,2433
"경기도 성남시 분당구","야탑1동",17800,8464,22289,1488
"경기도 성남시 분당구","야탑3동",30303,14557,12954,5686
"경기도 성남시 분당구","야탑2동",16609,7449,2840,1867
"경기도 성남시 분당구","운중동",19860,9145,5302,3105
"경기도 성남시 분당구","삼평동",24944,11113,68898,3829
"경기도 성남시 분당구","판교동",22967,10074,5472,4093
"경기도 성남시 분당구","백현동",27784,12350,6548,3908
