"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"경기도 성남시 수정구","신흥1동",15105,7683,4185,0
"경기도 성남시 수정구","신흥3동",11230,5644,3298,0
"경기도 성남시 수정구","신흥2동",21350,10125,4569,1870
"경기도 성남시 수정구","산성동",14225,6751,1811,2122
"경기도 성남시 수정구","태평1동",18520,9291,4050,796
"경기도 성남시 수정구","수진2동",19990,9922,6615,3505
"경기도 성남시 수정구","태평2동",16685,8004,3129,0
"경기도 성남시 수정구","태평3동",15127,7263,2260,1597
"경기도 성남시 수정구","태평4동",14763,6865,1926,1573
"경기도 성남시 수정구","수진1동",16297,8265,2582,0
"경기도 성남시 수정구","단대동",16338,7652,3941,4049
"경기도 성남시 수정구","양지동",10367,4770,1949,4697
"경기도 성남시 수정구","신촌동",4515,2063,619,898
"경기도 성남시 수정구","고등동",1673,809,933,53
"경기도 성남시 수정구","시흥동",3049,1439,4161,0
"경기도 성남시 수정구","복정동",12102,6308,10000,24786
"경기도 성남시 수정구","위례동",23490,10759,267,653
