"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"경기도 성남시 중원구","성남동",30842,15289,13444,8022
"경기도 성남시 중원구","하대원동",22371,10619,6579,2448
"경기도 성남시 중원구","금광1동",12728,6293,3693,2598
"경기도 성남시 중원구","금광2동",28020,13424,5310,9908
"경기도 성남시 중원구","상대원3동",14412,7038,2128,497
"경기도 성남시 중원구","중앙동",17492,8458,3151,524
"경기도 성남시 중원구","은행1동",12023,5483,531,834
"경기도 성남시 중원구","은행2동",27092,12540,2516,2005
"경기도 성남시 중원구","상대원1동",28589,13996,46428,914
"경기도 성남시 중원구","상대원2동",16081,7848,6126,557
"경기도 성남시 중원구","도촌동",25363,11465,6922,2237
