"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"경기도 수원시 권선구","세류1동",10977,5499,1125,1027
"경기도 수원시 권선구","세류2동",27661,13842,5128,1345
"경기도 수원시 권선구","세류3동",24387,11740,4978,1085
"경기도 수원시 권선구","평동",37797,17688,24638,9570
"경기도 수원시 권선구","서둔동",41174,19540,12104,3278
"경기도 수원시 권선구","구운동",27486,13166,6979,2087
"경기도 수원시 권선구","입북동",18040,8077,2125,1530
"경기도 수원시 권선구","금곡동",35772,15966,3369,5212
"경기도 수원시 권선구","호매실동",28625,12759,2647,3379
"경기도 수원시 권선구","권선1동",25942,13030,14118,1552
"경기도 수원시 권선구","곡선동",30306,15817,6384,4453
"경기도 수원시 권선구","권선2동",48900,22332,6667,6475
