"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"경기도 시흥시","대야동",31955,15152,14839,2432
"경기도 시흥시","신천동",41113,19489,12043,4099
"경기도 시흥시","정왕4동",36045,16111,2620,5357
"경기도 시흥시","정왕본동",39926,23439,8600,5010
"경기도 시흥시","군자동",25060,11656,3992,3046
"경기도 시흥시","월곶동",16102,7646,4323,1509
"경기도 시흥시","정왕2동",36155,17129,29476,4488
"경기도 시흥시","정왕3동",28126,14324,24088,2264
"경기도 시흥시","정왕1동",39469,22112,44895,15248
"경기도 시흥시","신현동",11482,5519,7297,327
"경기도 시흥시","은행동",29502,13497,7700,7252
"경기도 시흥시","매화동",13356,6115,4371,1914
"경기도 시흥시","목감동",16192,7486,4600,851
"경기도 시흥시","과림동",1889,973,8047,1563
"경기도 시흥시","능곡동",15843,6926,2808,3277
"경기도 시흥시","연성동",24232,10906,7448,4109
"경기도 시흥시","장곡동",18464,7927,3067,4090
