"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"경기도 안산시 단원구","와동",44868,21687,5240,5203
"경기도 안산시 단원구","선부1동",13723,6681,3355,948
"경기도 안산시 단원구","선부2동",28630,14788,5360,5101
"경기도 안산시 단원구","선부3동",35768,17054,5929,3099
"경기도 안산시 단원구","원곡1동",11120,6059,1532,502
"경기도 안산시 단원구","원곡2동",16154,7606,1879,1421
"경기도 안산시 단원구","고잔1동",21247,10009,8033,2929
"경기도 안산시 단원구","고잔2동",21957,10604,18827,7080
"경기도 안산시 단원구","호수동",47893,22523,27988,7944
"경기도 안산시 단원구","원곡본동",57345,31704,32500,5441
"경기도 안산시 단원구","초지동",50565,24846,121889,11165
