"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"경기도 안산시 상록구","일동",28306,13319,4150,7121
"경기도 안산시 상록구","성포동",25875,11891,4279,3792
"경기도 안산시 상록구","이동",31392,16219,10100,2904
"경기도 안산시 상록구","사1동",39003,18785,6524,3321
"경기도 안산시 상록구","사2동",34993,16121,7043,3491
"경기도 안산시 상록구","사3동",21900,10550,5719,13849
"경기도 안산시 상록구","본오1동",43712,20547,8134,6228
"경기도 안산시 상록구","반월동",20103,9430,6674,2181
"경기도 안산시 상록구","본오2동",30335,14091,4097,1574
"경기도 안산시 상록구","본오3동",23976,11578,5629,3581
"경기도 안산시 상록구","부곡동",23786,11161,3823,6453
"경기도 안산시 상록구","월피동",44760,20955,7436,4104
"경기도 안산시 상록구","안산동",9900,4620,3639,3078
