"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"경기도 안양시 동안구","비산1동",25788,11822,3217,9001
"경기도 안양시 동안구","비산3동",23463,10959,5488,1634
"경기도 안양시 동안구","관양1동",38388,17826,9162,3897
"경기도 안양시 동안구","비산2동",13499,6271,2643,661
"경기도 안양시 동안구","부흥동",18038,8053,5211,3861
"경기도 안양시 동안구","달안동",11882,5756,6127,1984
"경기도 안양시 동안구","부림동",25714,12396,13843,4254
"경기도 안양시 동안구","평안동",24667,10859,3238,4575
"경기도 안양시 동안구","귀인동",16926,7276,4569,4772
"경기도 안양시 동안구","범계동",15696,7049,14301,3377
"경기도 안양시 동안구","신촌동",13456,6231,2927,1321
"경기도 안양시 동안구","관양2동",20030,9744,39345,2076
"경기도 안양시 동안구","평촌동",15887,7150,8240,1434
"경기도 안양시 동안구","호계3동",24639,11666,4485,1977
"경기도 안양시 동안구","호계1동",12292,5976,18894,0
"경기도 안양시 동안구","호계2동",25375,11990,10835,1954
"경기도 안양시 동안구","갈산동",11302,5070,1737,3255
