"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"경기도 안양시 만안구","안양1동",17075,8043,8357,744
"경기도 안양시 만안구","안양4동",7292,3502,4600,0
"경기도 안양시 만안구","안양5동",13936,6562,5856,7627
"경기도 안양시 만안구","안양2동",22550,10882,5853,4923
"경기도 안양시 만안구","안양3동",17525,8387,3871,10140
"경기도 안양시 만안구","안양6동",18440,9149,9440,2482
"경기도 안양시 만안구","안양8동",11854,5823,5094,7993
"경기도 안양시 만안구","안양9동",17290,8002,1569,1822
"경기도 안양시 만안구","안양7동",12025,5838,12730,184
"경기도 안양시 만안구","석수1동",19369,9024,4422,3290
"경기도 안양시 만안구","석수2동",32178,15050,7729,2380
"경기도 안양시 만안구","석수3동",14457,6614,1505,2887
"경기도 안양시 만안구","박달1동",16605,7930,3089,0
"경기도 안양시 만안구","박달2동",21759,10010,6147,3114
