"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"경기도 용인시 기흥구","구갈동",27109,13002,11271,11166
"경기도 용인시 기흥구","상갈동",45248,20043,10900,8199
"경기도 용인시 기흥구","상하동",24544,10894,4555,1956
"경기도 용인시 기흥구","기흥동",21843,9810,11153,1444
"경기도 용인시 기흥구","서농동",23629,10883,26869,3068
"경기도 용인시 기흥구","구성동",38973,16593,4504,4928
"경기도 용인시 기흥구","동백동",76319,32189,15041,15123
"경기도 용인시 기흥구","마북동",30201,13054,9311,5377
"경기도 용인시 기흥구","보정동",34889,15185,12721,5540
"경기도 용인시 기흥구","신갈동",35669,16293,7990,4581
"경기도 용인시 기흥구","영덕동",43222,19415,19153,18674
