"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"경기도 의정부시","의정부1동",19467,9642,13182,929
"경기도 의정부시","의정부2동",27421,13199,18603,924
"경기도 의정부시","의정부3동",13082,6294,6843,385
"경기도 의정부시","호원1동",33926,15545,6661,4614
"경기도 의정부시","장암동",20125,8894,2984,2123
"경기도 의정부시","호원2동",36174,16049,4478,3383
"경기도 의정부시","신곡1동",42977,19631,5258,4860
"경기도 의정부시","신곡2동",45942,20598,7815,5625
"경기도 의정부시","송산1동",32525,14880,9987,3280
"경기도 의정부시","자금동",29254,13199,10587,3065
"경기도 의정부시","송산2동",53244,23360,7903,9351
"경기도 의정부시","가능1동",23840,11224,5937,6143
"경기도 의정부시","가능2동",10168,4602,2232,2568
"경기도 의정부시","가능3동",10343,4771,2268,7801
"경기도 의정부시","녹양동",22766,10354,4341,2207
