"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"경기도 화성시","봉담읍",71684,32344,27443,31400
"경기도 화성시","매송면",7999,3665,2196,366
"경기도 화성시","정남면",14087,7157,26017,6921
"경기도 화성시","동탄2동",37125,15786,5008,8846
"경기도 화성시","동탄1동",53621,24193,27395,10091
"경기도 화성시","동탄3동",44129,19221,7003,6663
"경기도 화성시","동탄면",7099,3566,16662,149
"경기도 화성시","동탄4동",57447,25167,4256,9706
"경기도 화성시","반월동",27293,12199,49838,4872
"경기도 화성시","기배동",14966,6542,4097,2900
"경기도 화성시","화산동",23893,11194,9620,1773
"경기도 화성시","진안동",37415,18490,13015,2036
"경기도 화성시","병점1동",28858,13010,4846,1768
"경기도 화성시","병점2동",26412,11237,4145,8170
