"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 강남구","신사동",16853,8016,29332,592
"서울특별시 강남구","압구정동",25345,11404,34644,5560
"서울특별시 강남구","논현1동",23052,12786,43711,346
"서울특별시 강남구","논현2동",21509,11155,65277,1389
"서울특별시 강남구","역삼1동",34275,19753,154527,406
"서울특별시 강남구","삼성1동",14017,6683,69746,2861
"서울특별시 강남구","삼성2동",28706,14009,37369,1692
"서울특별시 강남구","청담동",27954,13422,43578,4297
"서울특별시 강남구","대치1동",21321,9143,7103,4908
"서울특별시 강남구","대치4동",20252,10234,28677,1037
"서울특별시 강남구","대치2동",38943,17703,51565,4808
"서울특별시 강남구","역삼2동",33617,16111,40663,5158
"서울특별시 강남구","도곡1동",21372,10209,19470,3666
"서울특별시 강남구","도곡2동",31954,14521,22061,6555
"서울특별시 강남구","개포1동",19811,9430,1658,2217
"서울특별시 강남구","개포4동",17578,8651,12402,2117
"서울특별시 강남구","개포2동",21798,10453,3451,4203
"서울특별시 강남구","일원본동",23245,10481,8114,4791
"서울특별시 강남구","일원1동",16414,7826,6451,1802
"서울특별시 강남구","일원2동",15704,7314,8069,1371
"서울특별시 강남구","수서동",16070,7605,16742,2407
"서울특별시 강남구","세곡동",41152,18461,4542,3890
