"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 강동구","강일동",32838,14116,16319,3530
"서울특별시 강동구","상일동",12561,5914,5429,8422
"서울특별시 강동구","고덕2동",8361,3992,3138,2917
"서울특별시 강동구","명일1동",21983,10135,6003,681
"서울특별시 강동구","명일2동",17345,7868,5035,2529
"서울특별시 강동구","고덕1동",15417,7108,1954,4697
"서울특별시 강동구","암사3동",18200,8339,1806,2031
"서울특별시 강동구","암사2동",14719,7115,4293,1835
"서울특별시 강동구","천호1동",28226,13759,5431,3334
"서울특별시 강동구","천호3동",24646,12404,7532,606
"서울특별시 강동구","암사1동",36375,17615,5283,1139
"서울특별시 강동구","천호2동",34638,17432,14534,1452
"서울특별시 강동구","성내1동",19885,9535,17253,2724
"서울특별시 강동구","성내2동",25165,12873,7633,0
"서울특별시 강동구","성내3동",23618,11577,10241,82
"서울특별시 강동구","둔촌1동",17533,8383,1227,3223
"서울특별시 강동구","둔촌2동",27499,13009,9012,3402
"서울특별시 강동구","길동",49060,24134,19875,3294
