"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 강북구","수유1동",21613,10260,5034,3398
"서울특별시 강북구","삼양동",27894,13051,3159,2453
"서울특별시 강북구","삼각산동",32967,14792,2138,3452
"서울특별시 강북구","우이동",20518,9398,3980,405
"서울특별시 강북구","인수동",31332,14537,5460,2805
"서울특별시 강북구","미아동",22459,10905,6172,4376
"서울특별시 강북구","송중동",28068,13363,7989,3398
"서울특별시 강북구","송천동",28997,13846,7066,4304
"서울특별시 강북구","번1동",19548,9642,9093,1577
"서울특별시 강북구","수유2동",21286,9821,4410,0
"서울특별시 강북구","수유3동",22973,11467,8887,487
"서울특별시 강북구","번2동",17591,8141,3068,686
"서울특별시 강북구","번3동",19184,8546,2775,1314
