"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 강서구","염창동",39180,18413,15890,4456
"서울특별시 강서구","등촌1동",21621,11274,15416,617
"서울특별시 강서구","등촌3동",33202,15600,20544,6844
"서울특별시 강서구","가양2동",15853,7804,3391,2044
"서울특별시 강서구","가양3동",16714,8165,6888,1501
"서울특별시 강서구","등촌2동",21018,10197,3485,5648
"서울특별시 강서구","화곡본동",34867,17208,4021,2297
"서울특별시 강서구","화곡2동",19531,9501,2408,1905
"서울특별시 강서구","화곡4동",22348,10920,3671,2419
"서울특별시 강서구","화곡6동",24446,12072,11828,2175
"서울특별시 강서구","화곡8동",26033,12810,3363,0
"서울특별시 강서구","화곡1동",51918,26661,10084,2651
"서울특별시 강서구","공항동",23770,11741,35924,2715
"서울특별시 강서구","방화1동",43598,20229,10107,3524
"서울특별시 강서구","방화2동",23556,11376,11787,1777
"서울특별시 강서구","방화3동",24418,11694,4573,2816
"서울특별시 강서구","화곡3동",21976,10508,4863,0
"서울특별시 강서구","발산1동",38296,16980,11795,14072
"서울특별시 강서구","우장산동",44085,20381,6587,2982
"서울특별시 강서구","가양1동",25567,12921,11639,1490
