"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 관악구","보라매동",25013,12319,7115,2672
"서울특별시 관악구","은천동",34877,16887,7587,2002
"서울특별시 관악구","청룡동",29496,15460,12163,4530
"서울특별시 관악구","낙성대동",17345,9063,8930,1302
"서울특별시 관악구","인헌동",27645,13962,4602,1352
"서울특별시 관악구","남현동",18130,9352,6397,844
"서울특별시 관악구","청림동",16246,7595,1153,0
"서울특별시 관악구","행운동",29611,15392,5865,2727
"서울특별시 관악구","중앙동",15035,7781,6094,426
"서울특별시 관악구","성현동",32435,14942,2540,4953
"서울특별시 관악구","서원동",23451,12592,7563,329
"서울특별시 관악구","신원동",19839,10116,2276,1091
"서울특별시 관악구","신사동",26615,13982,4428,627
"서울특별시 관악구","신림동",20560,11978,5842,522
"서울특별시 관악구","조원동",20154,10764,6732,587
"서울특별시 관악구","서림동",24714,13093,2584,1145
"서울특별시 관악구","대학동",24117,13495,12777,29935
"서울특별시 관악구","삼성동",25845,12166,2370,2086
"서울특별시 관악구","난향동",16139,7492,1999,1206
"서울특별시 관악구","난곡동",29144,13978,2446,2584
"서울특별시 관악구","미성동",32229,15536,6427,5017
