"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 광진구","자양3동",28839,13671,5908,4087
"서울특별시 광진구","자양4동",27235,14325,7067,365
"서울특별시 광진구","자양1동",23063,11738,9028,1189
"서울특별시 광진구","자양2동",26043,12656,7974,3746
"서울특별시 광진구","화양동",25262,13597,14420,22651
"서울특별시 광진구","군자동",22178,11184,9582,14910
"서울특별시 광진구","능동",11345,6027,5680,2775
"서울특별시 광진구","중곡4동",30197,14607,4763,5018
"서울특별시 광진구","구의2동",24619,11741,4929,1555
"서울특별시 광진구","구의1동",22520,11701,7100,1665
"서울특별시 광진구","구의3동",28164,13680,17283,960
"서울특별시 광진구","광장동",34482,15294,10812,10273
"서울특별시 광진구","중곡1동",15464,7922,6585,0
"서울특별시 광진구","중곡2동",21822,10917,7298,1239
"서울특별시 광진구","중곡3동",17118,8553,4762,829
