"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 구로구","신도림동",36997,17618,14948,4056
"서울특별시 구로구","구로1동",21777,10479,3092,3148
"서울특별시 구로구","구로5동",34854,18016,25831,3066
"서울특별시 구로구","구로2동",37589,19605,31538,1567
"서울특별시 구로구","구로3동",27204,14568,82378,2303
"서울특별시 구로구","구로4동",28817,14951,5302,1086
"서울특별시 구로구","가리봉동",18068,10244,3705,816
"서울특별시 구로구","고척1동",24714,11619,9085,10225
"서울특별시 구로구","고척2동",29796,13983,3923,3336
"서울특별시 구로구","오류1동",21294,10629,4710,803
"서울특별시 구로구","수궁동",24887,11720,5691,6034
"서울특별시 구로구","개봉1동",34750,16528,5323,2675
"서울특별시 구로구","개봉2동",33646,15860,2913,0
"서울특별시 구로구","개봉3동",21699,10251,4174,3462
"서울특별시 구로구","오류2동",44067,19950,7362,7724
