"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 노원구","월계1동",24037,11145,5439,12085
"서울특별시 노원구","월계2동",26439,12101,3387,11635
"서울특별시 노원구","월계3동",32794,15316,3510,2245
"서울특별시 노원구","공릉1동",39411,18855,11864,1847
"서울특별시 노원구","공릉2동",42611,19650,11950,34891
"서울특별시 노원구","하계1동",29146,13173,7547,7460
"서울특별시 노원구","하계2동",23705,10672,1209,3230
"서울특별시 노원구","중계2·3동",37929,17130,5239,7444
"서울특별시 노원구","중계본동",26440,11662,5309,4962
"서울특별시 노원구","중계1동",28105,12175,4117,6025
"서울특별시 노원구","중계4동",21469,9636,3824,5629
"서울특별시 노원구","상계1동",40410,18936,9674,3467
"서울특별시 노원구","상계8동",24874,11657,1922,3162
"서울특별시 노원구","상계9동",22465,10334,2400,6498
"서울특별시 노원구","상계2동",21311,10100,9678,1100
"서울특별시 노원구","상계5동",24184,11154,3678,771
"서울특별시 노원구","상계3·4동",31662,14504,5226,1153
"서울특별시 노원구","상계10동",18347,8765,2009,3062
"서울특별시 노원구","상계6·7동",34901,16288,16046,5698
