"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 도봉구","쌍문1동",21454,9914,3838,10095
"서울특별시 도봉구","쌍문2동",20178,9462,5253,1684
"서울특별시 도봉구","쌍문3동",17368,8357,3710,617
"서울특별시 도봉구","쌍문4동",19834,9181,1847,5603
"서울특별시 도봉구","방학3동",28875,13189,2929,2745
"서울특별시 도봉구","방학1동",30050,14235,10649,2535
"서울특별시 도봉구","방학2동",21202,9879,2901,1253
"서울특별시 도봉구","창1동",26547,12387,3620,3953
"서울특별시 도봉구","창4동",28055,13002,7581,3747
"서울특별시 도봉구","창5동",25796,12203,7136,1487
"서울특별시 도봉구","창2동",30391,14473,4221,1025
"서울특별시 도봉구","창3동",15043,7034,2003,866
"서울특별시 도봉구","도봉1동",22208,10316,5745,2654
"서울특별시 도봉구","도봉2동",27816,12859,6735,1757
