"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 동대문구","용신동",31558,15725,32089,1949
"서울특별시 동대문구","제기동",26159,12434,12225,2159
"서울특별시 동대문구","전농1동",29300,13633,8611,1647
"서울특별시 동대문구","전농2동",20271,9311,4645,16390
"서울특별시 동대문구","답십리2동",29172,13760,6112,496
"서울특별시 동대문구","답십리1동",23709,11464,10289,1803
"서울특별시 동대문구","회기동",12896,6092,10312,22742
"서울특별시 동대문구","청량리동",21947,10211,8537,2567
"서울특별시 동대문구","장안1동",36696,17931,21265,2245
"서울특별시 동대문구","장안2동",30173,14249,10873,3631
"서울특별시 동대문구","휘경1동",14624,7231,4555,0
"서울특별시 동대문구","휘경2동",25210,11761,5305,6589
"서울특별시 동대문구","이문1동",31868,15159,6626,12182
"서울특별시 동대문구","이문2동",22123,10298,1935,881
