"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 동작구","노량진2동",14642,7455,7099,0
"서울특별시 동작구","대방동",38401,17986,11828,9843
"서울특별시 동작구","노량진1동",34824,17634,9706,1974
"서울특별시 동작구","상도1동",45526,21804,8250,17906
"서울특별시 동작구","상도2동",27021,13101,4517,1940
"서울특별시 동작구","상도3동",24739,12045,2583,435
"서울특별시 동작구","상도4동",29040,14056,2742,1523
"서울특별시 동작구","흑석동",34268,15983,9369,25018
"서울특별시 동작구","사당1동",23273,12249,10087,662
"서울특별시 동작구","사당3동",23158,11091,3840,5032
"서울특별시 동작구","사당4동",14286,7087,1821,423
"서울특별시 동작구","사당5동",12820,6221,1505,2414
"서울특별시 동작구","사당2동",28382,13818,5416,2547
"서울특별시 동작구","신대방1동",27699,13446,4106,1692
"서울특별시 동작구","신대방2동",20324,9722,20029,3456
