"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 마포구","대흥동",13578,6905,11034,14105
"서울특별시 마포구","염리동",11147,5374,6603,5458
"서울특별시 마포구","공덕동",37513,18465,19681,774
"서울특별시 마포구","아현동",24638,12204,13162,2076
"서울특별시 마포구","용강동",21269,10130,19507,0
"서울특별시 마포구","신수동",21830,10397,5355,2552
"서울특별시 마포구","도화동",21859,10443,16202,896
"서울특별시 마포구","서강동",25832,12741,11277,16424
"서울특별시 마포구","서교동",26863,14188,60627,1222
"서울특별시 마포구","합정동",18472,9572,14545,1606
"서울특별시 마포구","연남동",17792,9104,5818,1659
"서울특별시 마포구","망원1동",21220,10556,4749,0
"서울특별시 마포구","망원2동",19751,9377,5061,1505
"서울특별시 마포구","성산1동",20024,9897,11299,3384
"서울특별시 마포구","성산2동",38519,18040,11362,3881
"서울특별시 마포구","상암동",32185,14514,35635,5160
