"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 서대문구","천연동",19623,9018,2826,2971
"서울특별시 서대문구","충현동",19086,9203,23999,7134
"서울특별시 서대문구","북아현동",11832,5722,1979,3323
"서울특별시 서대문구","신촌동",21629,10999,37178,53215
"서울특별시 서대문구","연희동",41530,20124,11419,2402
"서울특별시 서대문구","홍제1동",24665,11520,4396,1296
"서울특별시 서대문구","홍제3동",19584,9044,3925,2568
"서울특별시 서대문구","홍제2동",15186,7082,1467,0
"서울특별시 서대문구","홍은1동",23637,10837,2275,950
"서울특별시 서대문구","홍은2동",30717,14228,5801,12163
"서울특별시 서대문구","남가좌1동",5356,2432,1515,945
"서울특별시 서대문구","남가좌2동",24631,11376,4030,10360
"서울특별시 서대문구","북가좌1동",19951,9233,2895,2858
"서울특별시 서대문구","북가좌2동",35063,16440,6899,0
