"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 서초구","서초1동",19813,9608,31743,4357
"서울특별시 서초구","서초2동",19609,9538,49707,3255
"서울특별시 서초구","서초3동",27324,13266,75343,4965
"서울특별시 서초구","서초4동",26767,12047,27259,3162
"서울특별시 서초구","잠원동",32827,15755,18274,3339
"서울특별시 서초구","반포본동",11608,4926,2584,5030
"서울특별시 서초구","반포1동",28613,14146,9680,4433
"서울특별시 서초구","반포2동",21354,9265,2883,3379
"서울특별시 서초구","반포3동",17740,7991,7453,1502
"서울특별시 서초구","반포4동",18821,8716,34251,950
"서울특별시 서초구","방배본동",20292,9202,10986,1327
"서울특별시 서초구","방배1동",15918,7732,15659,848
"서울특별시 서초구","방배2동",25893,12376,19514,1836
"서울특별시 서초구","방배3동",22031,10339,13931,6050
"서울특별시 서초구","방배4동",24694,11601,14555,3492
"서울특별시 서초구","양재1동",44649,20581,46740,4241
"서울특별시 서초구","양재2동",22080,11405,50239,2066
"서울특별시 서초구","내곡동",17143,7747,8681,983
