"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 성동구","왕십리2동",16069,7858,2350,573
"서울특별시 성동구","행당1동",14136,6868,8419,25543
"서울특별시 성동구","왕십리도선동",21269,10406,10592,935
"서울특별시 성동구","마장동",23290,11124,12377,2074
"서울특별시 성동구","사근동",13063,6217,11041,10026
"서울특별시 성동구","행당2동",24423,11420,1864,1890
"서울특별시 성동구","응봉동",16002,7306,955,1839
"서울특별시 성동구","금호1가동",12645,5934,1872,749
"서울특별시 성동구","금호4가동",13788,6661,1866,811
"서울특별시 성동구","금호2·3가동",23539,11378,2471,688
"서울특별시 성동구","옥수동",23047,11132,2766,2474
"서울특별시 성동구","성수1가1동",16323,8112,6611,3257
"서울특별시 성동구","성수1가2동",16443,8400,16964,339
"서울특별시 성동구","성수2가1동",18448,9359,18130,1798
"서울특별시 성동구","성수2가3동",11761,6098,44730,446
"서울특별시 성동구","송정동",11696,5983,2645,351
"서울특별시 성동구","용답동",16334,8309,14958,395
