"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 성북구","정릉2동",23768,10923,2948,1631
"서울특별시 성북구","정릉3동",16609,7553,4330,21034
"서울특별시 성북구","정릉4동",26667,12308,3991,9632
"서울특별시 성북구","성북동",16925,8054,5461,3501
"서울특별시 성북구","돈암1동",16325,7614,1715,2624
"서울특별시 성북구","돈암2동",22659,10252,1236,552
"서울특별시 성북구","보문동",14468,7184,5333,834
"서울특별시 성북구","삼선동",26406,12596,10764,10444
"서울특별시 성북구","동선동",16455,8163,10244,13274
"서울특별시 성북구","정릉1동",18618,8564,2010,0
"서울특별시 성북구","길음1동",36272,16346,3790,4107
"서울특별시 성북구","길음2동",12862,6015,5090,1221
"서울특별시 성북구","안암동",17758,8611,14283,31551
"서울특별시 성북구","종암동",41870,19374,7243,4051
"서울특별시 성북구","월곡1동",27228,12485,5543,3193
"서울특별시 성북구","월곡2동",20653,9737,8375,8001
"서울특별시 성북구","장위1동",21653,10246,2708,1205
"서울특별시 성북구","장위2동",19572,9199,4876,1414
"서울특별시 성북구","장위3동",12994,6076,3792,1652
"서울특별시 성북구","석관동",34276,16389,8937,5582
