"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 송파구","풍납1동",17409,8574,2757,703
"서울특별시 송파구","풍납2동",24530,11793,15795,3672
"서울특별시 송파구","거여1동",14003,6596,2958,750
"서울특별시 송파구","거여2동",19695,9288,3987,2262
"서울특별시 송파구","마천1동",21464,9990,2300,1078
"서울특별시 송파구","마천2동",19799,9437,4657,619
"서울특별시 송파구","방이1동",15374,7196,10965,3117
"서울특별시 송파구","오륜동",18069,7939,4479,7466
"서울특별시 송파구","오금동",34399,16416,17012,6492
"서울특별시 송파구","방이2동",24394,12544,22293,1749
"서울특별시 송파구","송파1동",25249,13037,13414,826
"서울특별시 송파구","석촌동",33779,17380,16427,1100
"서울특별시 송파구","삼전동",32127,16599,12418,2832
"서울특별시 송파구","잠실본동",28545,14879,19053,715
"서울특별시 송파구","송파2동",20576,9671,5501,5787
"서울특별시 송파구","가락본동",26811,13385,31674,2127
"서울특별시 송파구","가락1동",699,320,10539,0
"서울특별시 송파구","가락2동",33037,15538,10838,3073
"서울특별시 송파구","문정1동",20438,10057,7880,3200
"서울특별시 송파구","문정2동",21517,10900,17613,667
"서울특별시 송파구","장지동",34046,15985,11916,4138
"서울특별시 송파구","위례동",15793,7158,606,1687
"서울특별시 송파구","잠실7동",9652,4215,1003,3637
"서울특별시 송파구","잠실2동",34358,15258,4040,7727
"서울특별시 송파구","잠실3동",34627,15812,9869,3766
"서울특별시 송파구","잠실4동",28379,13158,1809,4087
"서울특별시 송파구","잠실6동",16346,7579,38090,770
