"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 양천구","목1동",31035,14071,22234,5677
"서울특별시 양천구","목5동",41411,18304,10209,9681
"서울특별시 양천구","목2동",30368,14923,3984,847
"서울특별시 양천구","목3동",21105,10293,4703,912
"서울특별시 양천구","목4동",26759,12284,4452,3410
"서울특별시 양천구","신월1동",22595,11090,4786,0
"서울특별시 양천구","신월3동",16725,8163,4095,4892
"서울특별시 양천구","신월5동",15482,7357,4251,2724
"서울특별시 양천구","신월2동",22593,10686,3837,3133
"서울특별시 양천구","신정4동",35220,17369,14509,2558
"서울특별시 양천구","신월4동",19280,8909,4084,1230
"서울특별시 양천구","신월6동",7595,3565,3359,1309
"서울특별시 양천구","신월7동",22459,10611,5709,1686
"서울특별시 양천구","신정3동",51513,23775,9146,7702
"서울특별시 양천구","신정1동",20652,9208,5010,2692
"서울특별시 양천구","신정2동",20394,9293,3564,3758
"서울특별시 양천구","신정6동",24489,11068,5934,2944
"서울특별시 양천구","신정7동",29785,13678,4428,4426
