"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 영등포구","여의동",31204,14267,153181,4958
"서울특별시 영등포구","당산1동",20296,10318,18382,0
"서울특별시 영등포구","양평1동",16653,8378,20939,1520
"서울특별시 영등포구","영등포동",18377,10071,39315,556
"서울특별시 영등포구","문래동",30086,14202,38775,3878
"서울특별시 영등포구","당산2동",34686,17620,21386,2650
"서울특별시 영등포구","양평2동",21627,10820,20937,2912
"서울특별시 영등포구","신길1동",22000,11335,5267,2847
"서울특별시 영등포구","신길3동",18280,9005,3035,604
"서울특별시 영등포구","신길4동",11516,5721,1875,538
"서울특별시 영등포구","신길5동",14775,7400,2968,2209
"서울특별시 영등포구","신길6동",21388,10532,4681,1633
"서울특별시 영등포구","신길7동",12622,6070,2650,403
"서울특별시 영등포구","영등포본동",26015,13114,5348,1642
"서울특별시 영등포구","도림동",23191,12176,3293,0
"서울특별시 영등포구","대림1동",17710,8923,4417,868
"서울특별시 영등포구","대림2동",24761,13427,4641,748
"서울특별시 영등포구","대림3동",30846,15866,10715,1962
