"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 용산구","후암동",17544,8430,5134,980
"서울특별시 용산구","용산2가동",11802,5869,3132,2974
"서울특별시 용산구","이태원2동",9845,4893,3326,829
"서울특별시 용산구","원효로2동",14601,6771,8140,1918
"서울특별시 용산구","효창동",9122,4313,2568,1297
"서울특별시 용산구","용문동",12157,5787,1734,0
"서울특별시 용산구","청파동",20630,10240,9172,17277
"서울특별시 용산구","원효로1동",13834,7006,11386,424
"서울특별시 용산구","남영동",7519,4102,16445,0
"서울특별시 용산구","한강로동",14700,7267,36080,1236
"서울특별시 용산구","이촌1동",25654,11353,4062,2995
"서울특별시 용산구","이촌2동",8686,4113,727,0
"서울특별시 용산구","서빙고동",13267,6049,4293,923
"서울특별시 용산구","이태원1동",7631,3883,8014,470
"서울특별시 용산구","보광동",15904,7972,1973,2838
"서울특별시 용산구","한남동",20393,10383,16816,316
