"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 은평구","녹번동",31037,14880,9079,1735
"서울특별시 은평구","대조동",31593,15411,8130,3208
"서울특별시 은평구","불광1동",40509,19061,6968,1798
"서울특별시 은평구","불광2동",28285,13456,4233,3394
"서울특별시 은평구","갈현1동",24521,11625,5011,1019
"서울특별시 은평구","갈현2동",29251,13775,5654,7631
"서울특별시 은평구","구산동",31118,14381,5192,7511
"서울특별시 은평구","역촌동",47875,22686,8037,1744
"서울특별시 은평구","응암1동",25932,12341,7533,2697
"서울특별시 은평구","응암2동",19277,8947,2005,1307
"서울특별시 은평구","응암3동",25674,12063,4806,2885
"서울특별시 은평구","신사1동",27001,12886,3851,1285
"서울특별시 은평구","신사2동",21080,9892,3280,4235
"서울특별시 은평구","증산동",18519,8750,4225,1859
"서울특별시 은평구","수색동",15652,7437,2735,434
"서울특별시 은평구","진관동",50910,22482,6384,9539
