"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 종로구","삼청동",2668,1223,4736,1913
"서울특별시 종로구","가회동",4357,2066,12215,2255
"서울특별시 종로구","청운효자동",12809,5794,6275,6525
"서울특별시 종로구","부암동",10164,4699,3630,10883
"서울특별시 종로구","평창동",17701,8076,3059,1076
"서울특별시 종로구","사직동",8983,4168,51375,1569
"서울특별시 종로구","무악동",7775,3474,1496,420
"서울특별시 종로구","교남동",4336,2037,3124,1345
"서울특별시 종로구","종로1·2·3·4가동",6832,3550,110405,525
"서울특별시 종로구","종로5·6가동",5070,2525,25713,277
"서울특별시 종로구","이화동",8490,4298,18239,5128
"서울특별시 종로구","혜화동",20519,9817,9667,26677
"서울특별시 종로구","창신1동",6267,3230,7014,629
"서울특별시 종로구","창신2동",10718,5450,2111,0
"서울특별시 종로구","창신3동",7172,3433,706,760
"서울특별시 종로구","숭인1동",6729,3306,1570,0
"서울특별시 종로구","숭인2동",9680,5094,7424,1296
