"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 중구","소공동",2324,1265,72671,3323
"서울특별시 중구","회현동",5337,2706,53750,583
"서울특별시 중구","명동",2868,1516,122197,6481
"서울특별시 중구","중림동",8286,4014,7387,1946
"서울특별시 중구","필동",4489,2262,26777,16698
"서울특별시 중구","장충동",5976,2881,9389,280
"서울특별시 중구","광희동",5727,2955,39378,251
"서울특별시 중구","을지로동",1514,796,30478,0
"서울특별시 중구","신당5동",9849,4825,3915,1335
"서울특별시 중구","황학동",12657,6569,7063,0
"서울특별시 중구","신당동",8922,4651,29061,3075
"서울특별시 중구","동화동",11018,5181,3809,846
"서울특별시 중구","다산동",15007,7337,9624,1690
"서울특별시 중구","약수동",17758,8365,3503,0
"서울특별시 중구","청구동",14400,6866,4266,2353
