"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"서울특별시 중랑구","면목본동",35470,17714,6960,1944
"서울특별시 중랑구","면목3·8동",27097,13299,8054,9130
"서울특별시 중랑구","망우3동",17725,8531,3430,2567
"서울특별시 중랑구","망우본동",31270,15277,10653,5412
"서울특별시 중랑구","면목2동",26247,12843,5769,1305
"서울특별시 중랑구","면목5동",10578,5197,3135,0
"서울특별시 중랑구","상봉2동",18249,9457,10814,0
"서울특별시 중랑구","면목4동",20762,10062,3529,1780
"서울특별시 중랑구","면목7동",22526,11033,4019,403
"서울특별시 중랑구","상봉1동",25235,11876,6968,3111
"서울특별시 중랑구","신내1동",40058,18190,8886,2267
"서울특별시 중랑구","신내2동",22580,10574,6094,2833
"서울특별시 중랑구","중화1동",20364,9796,3431,2744
"서울특별시 중랑구","중화2동",27267,13756,6769,0
"서울특별시 중랑구","묵1동",33057,15662,5366,4496
"서울특별시 중랑구","묵2동",19461,9520,4544,1110
