"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"인천광역시 계양구","효성1동",29748,14162,4415,5125
"인천광역시 계양구","효성2동",32371,15423,7961,1286
"인천광역시 계양구","계산1동",21968,10918,7557,4315
"인천광역시 계양구","계산2동",17251,8497,5143,6945
"인천광역시 계양구","계산3동",21783,10675,2409,2716
"인천광역시 계양구","작전1동",30854,14648,4543,5215
"인천광역시 계양구","작전2동",25327,12441,8544,527
"인천광역시 계양구","계산4동",21814,10648,15068,6024
"인천광역시 계양구","작전서운동",33101,15565,11118,3856
"인천광역시 계양구","계양2동",37936,18024,5733,4250
"인천광역시 계양구","계양1동",22326,10554,3108,1726
"인천광역시 계양구","계양3동",26961,12358,3361,2477
