"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"인천광역시 남동구","구월1동",40191,19725,11147,3460
"인천광역시 남동구","구월3동",17757,8638,31495,1538
"인천광역시 남동구","구월4동",17475,8367,5014,671
"인천광역시 남동구","구월2동",39385,17828,3652,5166
"인천광역시 남동구","간석2동",22457,10522,2068,1967
"인천광역시 남동구","간석1동",25133,12002,5260,1805
"인천광역시 남동구","간석3동",28133,13625,9523,2893
"인천광역시 남동구","간석4동",27635,13350,7862,3589
"인천광역시 남동구","만수1동",17619,8277,5959,3204
"인천광역시 남동구","만수2동",28971,13387,3332,3838
"인천광역시 남동구","만수3동",18612,8693,1748,1776
"인천광역시 남동구","만수4동",20678,9506,1455,3872
"인천광역시 남동구","만수5동",17295,8280,4205,0
"인천광역시 남동구","만수6동",27190,12673,7266,3771
"인천광역시 남동구","장수서창동",41837,19118,6120,3550
"인천광역시 남동구","남촌도림동",24517,11712,18716,2010
"인천광역시 남동구","논현1동",32513,15117,5791,4612
"인천광역시 남동구","논현2동",35560,16963,21155,4637
"인천광역시 남동구","논현고잔동",43552,20764,70694,7452
