"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"인천광역시 미추홀구","숭의2동",12169,5667,5838,0
"인천광역시 미추홀구","숭의4동",16322,7560,1954,1914
"인천광역시 미추홀구","도화1동",21320,10047,5042,915
"인천광역시 미추홀구","학익1동",33618,15408,8580,11792
"인천광역시 미추홀구","학익2동",20339,9292,7192,4227
"인천광역시 미추홀구","용현2동",13814,6335,1699,0
"인천광역시 미추홀구","용현3동",8089,3803,1222,0
"인천광역시 미추홀구","용현5동",47097,21567,6197,4274
"인천광역시 미추홀구","용현1·4동",22715,10174,6915,22062
"인천광역시 미추홀구","주안5동",21753,10560,9714,1057
"인천광역시 미추홀구","숭의1·3동",11569,5509,4979,0
"인천광역시 미추홀구","도화2·3동",20103,9663,14077,10347
"인천광역시 미추홀구","관교동",17028,7981,6003,5200
"인천광역시 미추홀구","문학동",14818,7429,2481,1877
"인천광역시 미추홀구","주안1동",17804,9382,10957,60
"인천광역시 미추홀구","주안2동",22202,10375,3242,1302
"인천광역시 미추홀구","주안4동",20091,9345,5788,1935
"인천광역시 미추홀구","주안6동",22994,10883,6918,2063
"인천광역시 미추홀구","주안3동",11202,5207,1723,0
"인천광역시 미추홀구","주안7동",14080,6517,2869,767
"인천광역시 미추홀구","주안8동",22709,10555,3950,1428
