"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"인천광역시 부평구","부평1동",35198,16832,14354,4801
"인천광역시 부평구","부평4동",36097,17849,12496,4032
"인천광역시 부평구","부평5동",33463,16497,10417,836
"인천광역시 부평구","산곡1동",17147,8055,2499,4262
"인천광역시 부평구","산곡2동",33384,15267,3781,3959
"인천광역시 부평구","산곡3동",23783,10750,2289,2994
"인천광역시 부평구","산곡4동",19457,8967,2261,2228
"인천광역시 부평구","청천1동",9920,4958,7843,494
"인천광역시 부평구","청천2동",36469,17485,32366,1120
"인천광역시 부평구","갈산1동",17136,8311,5479,419
"인천광역시 부평구","갈산2동",21338,10120,2724,3015
"인천광역시 부평구","삼산1동",38377,17587,5001,3978
"인천광역시 부평구","삼산2동",30632,13730,10421,5779
"인천광역시 부평구","십정1동",19611,9453,7264,2571
"인천광역시 부평구","십정2동",27346,13667,7076,1771
"인천광역시 부평구","부평2동",21029,10206,1734,1534
"인천광역시 부평구","부평3동",14902,7122,3495,2403
"인천광역시 부평구","부평6동",16905,8349,3727,154
"인천광역시 부평구","부개1동",18537,8915,3352,1166
"인천광역시 부평구","일신동",13727,6477,5468,3244
"인천광역시 부평구","부개2동",22279,10446,3357,3612
"인천광역시 부평구","부개3동",34598,16260,3849,7372
