"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"인천광역시 서구","검암경서동",45357,22053,21640,7700
"인천광역시 서구","검단2동",23442,10539,3920,2655
"인천광역시 서구","검단3동",24643,10991,4583,4512
"인천광역시 서구","검단4동",48901,22135,7374,6425
"인천광역시 서구","검단1동",29689,13949,6164,4222
"인천광역시 서구","검단5동",25967,12405,15905,1749
"인천광역시 서구","연희동",43804,20911,14085,7451
"인천광역시 서구","가정1동",15547,7405,2531,305
"인천광역시 서구","가정2동",7248,3596,218,243
"인천광역시 서구","가정3동",10820,5249,613,1432
"인천광역시 서구","석남1동",23284,11437,4849,504
"인천광역시 서구","석남3동",16667,7960,1536,2787
"인천광역시 서구","가좌2동",21754,10124,2660,3317
"인천광역시 서구","석남2동",15891,7927,13589,634
"인천광역시 서구","가좌1동",14338,7478,27778,459
"인천광역시 서구","가좌3동",18348,8790,10326,960
"인천광역시 서구","가좌4동",8620,4228,6431,2026
"인천광역시 서구","신현원창동",27153,12945,10781,4280
"인천광역시 서구","청라1동",30042,13755,5054,4427
"인천광역시 서구","청라2동",34391,15328,3100,3688
"인천광역시 서구","청라3동",17567,7729,1598,3883
