"상위구역","읍면동명","인구","취업자수","종사자수","학생수"
"인천광역시 연수구","옥련1동",22104,10118,5608,2474
"인천광역시 연수구","옥련2동",22998,10552,3344,4926
"인천광역시 연수구","선학동",20375,10105,3716,958
"인천광역시 연수구","연수1동",26532,13427,3473,1885
"인천광역시 연수구","연수2동",23652,11444,5732,2529
"인천광역시 연수구","연수3동",19104,8953,2943,6250
"인천광역시 연수구","동춘3동",19546,8583,4625,3994
"인천광역시 연수구","청학동",29254,14293,6841,2239
"인천광역시 연수구","동춘1동",15293,7047,4378,3202
"인천광역시 연수구","동춘2동",20543,9569,4269,2533
"인천광역시 연수구","송도2동",40797,18147,11471,7671
"인천광역시 연수구","송도1동",34471,15480,25088,21461
"인천광역시 연수구","송도3동",28225,12901,12143,6233
