상위구역,읍면동명,인구,취업자수,종사자수,학생수
경기도 고양시 덕양구,주교동,17104,7964,4480,1263
경기도 고양시 덕양구,성사1동,24466,11394,5972,2772
경기도 고양시 덕양구,성사2동,11865,5364,1299,664
경기도 고양시 덕양구,능곡동,18724,8746,4074,979
경기도 고양시 덕양구,흥도동,30527,13808,3857,3065
경기도 고양시 덕양구,창릉동,11335,5136,6489,1691
경기도 고양시 덕양구,원신동,17662,8039,2506,1624
경기도 고양시 덕양구,효자동,2032,909,991,0
경기도 고양시 덕양구,신도동,17074,7848,1957,1561
경기도 고양시 덕양구,고양동,31934,14199,6318,3911
경기도 고양시 덕양구,관산동,33577,15659,6768,3577
경기도 고양시 덕양구,화정1동,39453,18172,10278,5318
경기도 고양시 덕양구,화정2동,34563,15568,10619,5229
경기도 고양시 덕양구,행주동,21323,10427,5639,2342
경기도 고양시 덕양구,행신1동,23571,10889,2764,2578
경기도 고양시 덕양구,행신3동,48719,22162,7050,6388
경기도 고양시 덕양구,행신2동,34082,15844,7229,4754
경기도 고양시 덕양구,화전동,5321,2375,2042,422
경기도 고양시 덕양구,대덕동,3283,1586,4016,4616
경기도 고양시 일산동구,식사동,30770,13651,9765,7358
경기도 고양시 일산동구,고봉동,18263,8839,18845,687
경기도 고양시 일산동구,중산동,42644,19392,7424,7326
경기도 고양시 일산동구,정발산동,25836,12053,6033,3365
경기도 고양시 일산동구,풍산동,37059,16581,6674,5556
경기도 고양시 일산동구,백석1동,31082,14856,12610,2614
경기도 고양시 일산동구,마두1동,24827,11171,8675,4848
경기도 고양시 일산동구,마두2동,16183,7051,4678,4210
경기도 고양시 일산동구,장항1동,2895,1474,9997,0
경기도 고양시 일산동구,장항2동,27414,14337,34295,662
경기도 고양시 일산동구,백석2동,21746,11098,10409,2752
경기도 고양시 일산서구,일산1동,28754,12986,2500,3157
경기도 고양시 일산서구,일산2동,21584,10287,3839,462
경기도 고양시 일산서구,일산3동,36337,15961,3945,5088
경기도 고양시 일산서구,탄현동,47962,21788,6530,6803
경기도 고양시 일산서구,주엽1동,28506,12548,4801,5524
경기도 고양시 일산서구,주엽2동,29748,13041,6664,3258
경기도 고양시 일산서구,대화동,31780,15087,17050,6857
경기도 고양시 일산서구,송포동,16797,7448,3776,1802
경기도 고양시 일산서구,송산동,45189,20172,16099,8825
경기도 과천시,중앙동,6389,2821,8735,3032
경기도 과천시,과천동,8632,4166,9871,0
경기도 과천시,갈현동,13723,6127,1402,975
경기도 과천시,문원동,7259,3177,2945,0
경기도 과천시,별양동,12551,5553,8845,4367
경기도 과천시,부림동,12001,5364,637,558
경기도 광명시,광명1동,13978,6504,842,0
경기도 광명시,광명2동,11626,5561,1330,0
경기도 광명시,광명3동,11240,5514,4258,805
경기도 광명시,광명4동,15519,7491,2889,0
경기도 광명시,광명5동,15597,7259,1804,931
경기도 광명시,광명6동,15069,6927,4954,3056
경기도 광명시,광명7동,23580,11018,4025,3726
경기도 광명시,철산1동,13561,6172,1899,2367
경기도 광명시,철산2동,16353,8015,2216,2022
경기도 광명시,철산3동,36411,16477,12033,7116
경기도 광명시,철산4동,14472,6858,860,0
경기도 광명시,하안1동,27457,12432,5511,2881
경기도 광명시,하안2동,15465,7236,1820,712
경기도 광명시,하안3동,22675,10214,5405,2096
경기도 광명시,하안4동,13793,6237,1280,3492
경기도 광명시,소하1동,31401,13807,19144,6316
경기도 광명시,소하2동,32481,14700,9178,5621
경기도 광명시,학온동,2244,1044,5881,125
경기도 구리시,갈매동,9795,4487,1649,0
경기도 구리시,동구동,39751,18079,15992,5089
경기도 구리시,인창동,24461,11200,7767,2123
