id,mode,dist_train,dist_air,dist_bus,dist_car,cost_train,cost_air,cost_bus,cost_car,ivt_train,ivt_air,ivt_bus,ivt_car,ovt_train,ovt_air,ovt_bus,ovt_car,freq_train,freq_air,freq_bus,freq_car,urban_train,urban_air,urban_bus,urban_car,income_train,income_air,income_bus,income_car
1,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,45,45,45,45
2,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,70,70,70,70
3,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,35,35,35,35
4,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,70,70,70,70
5,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,70,70,70,70
6,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,55,55,55,55
7,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,25,25,25,25
8,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,70,70,70,70
9,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,70,70,70,70
10,air,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,45,45,45,45
11,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,70,70,70,70
12,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,25,25,25,25
13,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,70,70,70,70
14,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,45,45,45,45
15,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,70,70,70,70
16,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,15,15,15,15
17,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,70,70,70,70
18,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,55,55,55,55
19,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,35,35,35,35
20,car,377,377,377,377,58.25,142.8,27.52,71.63,215,56,301,262,74,85,63,0,4,9,8,0,0,0,0,0,35,35,35,35
